STATE,UNDER,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,OVER,total_drivers
Alabama,"219,648","327,163","347,679","320,583","307,331","292,967","311,675","309,970","339,239","327,915","286,986","242,004","168,934","113,483","110,574","4,026,151"
Alaska,"20,475","40,518","53,163","56,783","54,442","44,157","40,918","40,691","45,895","44,905","36,877","24,832","12,927","6,788","5,910","529,281"
Arizona ,"192,344","397,240","465,521","476,375","480,748","455,897","469,705","453,076","477,866","453,190","350,644","298,942","200,522","116,256","80,884","5,369,210"
Arkansas ,"77,571","170,553","183,783","176,958","176,749","167,410","171,238","169,149","189,269","180,094","159,946","135,194","94,440","58,074","43,501","2,153,929"
California,"826,572","2,233,733","2,730,865","2,734,536","2,631,871","2,355,862","2,357,789","2,324,679","2,368,239","2,132,691","1,727,909","1,267,334","766,952","439,237","315,381","27,213,650"
Colorado ,"163,343","320,540","419,715","427,933","395,903","347,245","340,574","327,576","351,995","343,666","298,793","229,742","137,536","76,843","53,980","4,235,384"
Connecticut,"92,980","193,297","216,632","217,305","212,029","196,316","213,879","238,142","253,366","231,218","181,834","143,427","99,226","60,798","57,612","2,608,061"
Delaware,"38,014","60,105","71,447","70,161","65,226","57,255","59,439","64,032","69,921","68,257","61,168","52,177","35,376","21,343","18,608","812,529"
Dist. of Col. ,934,"14,888","60,660","97,106","86,251","58,782","41,750","35,523","32,524","28,855","25,367","21,371","13,803","8,499","9,266","535,579"
Florida,"499,335","1,085,004","1,236,384","1,270,620","1,237,796","1,178,515","1,265,570","1,314,344","1,440,146","1,338,655","1,191,649","1,039,613","722,166","430,973","309,858","15,560,628"
Georgia,"308,635","600,387","661,203","637,411","627,507","601,477","655,344","638,078","642,644","569,325","469,596","376,797","241,478","137,108","94,276","7,261,266"
Hawaii,"23,987","60,778","71,752","82,998","85,748","77,617","80,066","80,331","86,387","85,601","77,808","62,393","37,221","17,602","12,884","943,173"
Idaho ,"69,917","104,612","105,986","104,499","108,034","98,464","95,820","93,504","104,821","103,713","93,371","72,408","48,506","28,359","20,521","1,252,535"
Illinois,"406,483","663,456","728,434","741,051","755,526","710,523","712,090","712,022","758,587","721,051","600,447","463,149","298,558","37,873","237,682","8,546,932"
Indiana  ,"194,861","371,447","399,569","379,518","381,843","357,974","384,470","390,486","419,701","394,813","327,689","245,273","167,488","100,397","73,876","4,589,405"
Iowa,"137,428","184,693","189,880","185,993","186,657","169,448","167,050","174,310","200,619","196,066","170,283","127,652","85,265","56,263","42,824","2,274,431"
Kansas,"119,098","178,533","191,780","189,612","183,136","163,501","155,949","157,658","182,276","180,835","157,864","119,467","77,826","50,863","45,862","2,154,260"
Kentucky ,"66,301","230,292","253,152","249,874","254,004","248,752","260,411","265,269","286,567","271,675","231,831","181,483","116,839","68,105","45,774","3,030,329"
Louisiana,"152,106","244,763","271,565","295,950","308,977","276,018","271,387","275,900","300,054","289,206","245,432","191,101","129,029","84,453","99,227","3,435,168"
Maine ,"34,852","64,913","77,587","81,976","79,624","74,111","80,304","88,447","102,199","102,582","91,459","73,437","46,857","27,237","20,544","1,046,129"
Maryland,"133,647","312,971","393,775","437,746","433,835","381,775","381,681","394,578","409,752","363,717","290,418","225,331","147,080","86,879","70,677","4,463,862"
Massachusetts ,"166,737","370,001","457,339","458,761","418,781","378,712","405,021","440,542","464,052","422,974","345,544","269,959","171,706","99,962","79,965","4,950,056"
Michigan,"337,812","556,538","605,274","579,660","521,299","521,517","564,736","595,792","655,746","644,133","545,800","422,351","283,297","171,648","135,891","7,141,494"
Minnesota,"140,734","230,738","236,347","264,065","281,656","256,269","267,460","289,569","336,317","314,900","265,909","197,684","138,002","90,545","80,862","3,391,057"
Mississippi ,"109,064","167,409","166,656","154,709","162,235","155,468","167,516","167,865","184,965","176,681","152,189","119,470","81,535","51,944","40,330","2,058,036"
Missouri ,"197,246","328,344","361,826","360,339","356,781","325,082","330,372","338,663","392,057","375,192","316,683","251,285","168,677","100,634","71,208","4,274,389"
Montana,"35,593","56,271","67,335","67,322","66,773","60,365","57,538","58,426","72,105","76,569","70,942","54,851","33,941","19,932","13,888","811,851"
Nebraska ,"76,906","117,914","127,939","127,417","125,923","110,219","105,031","103,873","120,349","117,306","102,404","77,731","51,531","33,465","32,810","1,430,818"
Nevada ,"55,998","147,848","185,905","192,193","191,205","176,147","181,038","175,255","178,141","165,290","145,808","119,443","76,386","40,356","23,408","2,054,421"
New Hampshire,"38,755","76,199","99,977","105,277","92,829","81,069","88,701","99,166","112,202","108,288","89,600","73,991","50,564","33,378","45,215","1,195,211"
New Jersey  ,"238,207","509,009","542,023","533,690","523,675","506,909","537,645","575,409","603,960","545,707","429,375","337,408","227,878","141,386","125,132","6,377,413"
New Mexico  ,"54,340","105,591","120,443","125,061","125,799","113,738","111,931","113,266","132,146","130,221","118,645","94,333","56,336","29,991","17,870","1,449,711"
New York ,"326,272","833,184","1,082,704","1,068,989","1,024,265","947,431","1,033,804","1,104,775","1,136,084","1,030,351","856,523","660,974","449,781","301,768","337,455","12,194,360"
North Carolina,"226,458","594,090","703,056","670,402","623,776","600,094","650,128","640,434","666,077","627,719","564,721","471,225","287,242","167,085","127,494","7,620,001"
North Dakota,"28,459","45,720","56,526","55,373","50,958","41,237","38,692","39,336","46,833","46,409","38,066","27,168","18,246","12,485","10,556","556,064"
Ohio,"337,292","604,767","643,246","643,248","636,620","603,904","649,556","674,216","745,836","737,518","617,554","477,265","316,026","198,310","147,434","8,032,792"
Oklahoma,"148,093","215,641","218,510","212,941","209,970","184,350","185,488","182,758","211,903","207,076","181,426","147,453","101,873","64,821","50,367","2,522,670"
Oregon,"88,542","201,439","245,938","261,479","260,059","233,793","232,666","223,102","245,760","253,167","240,825","189,533","122,692","71,422","60,284","2,930,701"
Pennsylvania,"299,207","630,407","722,062","739,199","712,502","659,788","714,447","771,642","847,292","833,308","703,353","548,423","371,926","238,337","195,783","8,987,676"
Rhode Island,"25,460","56,495","67,516","65,855","61,490","55,002","59,686","67,263","73,203","69,968","57,358","44,400","27,511","16,288","13,551","761,046"
South Carolina ,"224,139","290,539","337,405","326,419","310,731","288,481","307,411","307,643","332,015","317,449","291,068","244,235","155,809","86,346","58,278","3,877,968"
South Dakota,"35,791","48,803","52,147","53,087","53,046","45,929","44,071","46,428","57,087","57,220","51,993","38,001","25,377","16,066","13,382","638,428"
Tennessee,"246,135","408,063","468,210","442,673","436,690","419,093","472,575","477,841","496,426","467,179","393,470","303,017","194,432","113,855","82,770","5,422,429"
Texas,"708,974","1,491,717","1,659,603","1,650,280","1,654,037","1,524,142","1,566,241","1,499,196","1,556,952","1,409,751","1,148,921","876,838","557,802","318,584","199,722","17,822,760"
Utah,"147,176","224,269","220,781","206,535","212,312","197,275","163,135","139,966","144,048","137,402","115,375","88,165","59,862","36,692","28,106","2,121,099"
Vermont,"17,816","35,009","45,170","49,584","47,651","41,083","43,875","46,783","52,693","51,602","44,773","34,215","22,673","14,340","17,627","564,894"
Virginia,"216,424","437,435","503,903","508,926","506,458","473,726","503,505","517,534","549,456","498,115","410,523","329,584","214,848","124,493","93,266","5,888,196"
Washington,"211,878","425,291","532,418","555,668","553,710","490,088","473,329","453,503","478,721","457,353","396,166","306,711","192,586","108,219","75,495","5,711,136"
West Virginia,"52,862","63,950","74,199","72,167","76,120","82,114","91,403","93,060","103,189","110,908","105,664","88,255","56,634","35,232","24,632","1,130,389"
Wisconsin,"190,571","313,184","347,330","359,590","354,524","326,448","323,846","352,543","403,356","386,221","329,341","250,603","165,894","105,805","87,390","4,296,646"
Wyoming,"20,721","32,247","34,335","36,417","37,527","33,108","30,955","30,013","36,346","39,261","34,494","25,670","16,514","9,658","6,849","424,115"